name,state,city,ntee_code,geo_tier,verdict,confidence,rejection_reason,assets_end_of_year,asset_amount,grants_paid_total,typical_grant_estimate,grant_history_method,similar_grants_count,propublica_url,ruling_date,most_recent_filing_year
Siangbawi Foundation,IN,Indianapolis,A50,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/843859827,2020-01-01,
Winton Foundation,IN,Hammond,A25,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/871656545,2021-11-01,
Parker Foundation,IN,Batesville,A01,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,1,,,,0,https://projects.propublica.org/nonprofits/organizations/992760638,2024-08-01,
Foundations Music,IN,Bloomfield,A25,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/991103744,2025-11-01,
Ruthmere Foundation Inc,IN,Elkhart,A50,1,pass,worth a look,,11500968,11849900,,,,0,https://projects.propublica.org/nonprofits/organizations/320037914,2003-03-01,2023
Grouseland Foundation Inc,IN,Vincennes,A54,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,2432550,,,,0,https://projects.propublica.org/nonprofits/organizations/352088602,2001-01-01,
Upr Foundation Inc,IN,West Lafayette,A20,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,1302142,,,,0,https://projects.propublica.org/nonprofits/organizations/203579367,2006-01-01,
Bcc Foundation Inc,IN,Indianapolis,A82,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,22000,,,,0,https://projects.propublica.org/nonprofits/organizations/991593235,2024-07-01,
Prn Foundation Inc,IN,Indianapolis,A68,1,fail,,IRS foundation_code=16 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,21973,,,,0,https://projects.propublica.org/nonprofits/organizations/843202629,2020-01-01,
1852 Foundation Inc,IN,Lafayette,A80,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,1093582,,,,0,https://projects.propublica.org/nonprofits/organizations/473942649,2015-07-01,
95th Division Foundation,IN,Fort Wayne,A84,1,fail,,"Assets too low ($35,100) -- likely dormant or inactive. Minimum threshold: $50,000.",35100,16778,,,,0,https://projects.propublica.org/nonprofits/organizations/731597499,2004-04-01,2023
Dda Company Foundation,IN,Francesville,A62,1,fail,,"Assets too low ($16,094) -- likely dormant or inactive. Minimum threshold: $50,000.",16094,8855,,,,0,https://projects.propublica.org/nonprofits/organizations/831562457,2018-08-01,2023
Lafayette Symphony Foundation,IN,Lafayette,A116,1,fail,,IRS foundation_code=17 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,3630544,,,,0,https://projects.propublica.org/nonprofits/organizations/352080594,1999-09-01,
Elston Memorial Foundation,IN,Crawfordsvlle,A50,1,fail,,IRS foundation_code=15 classifies this org as a public charity (not a private foundation). Codes 10-21 = various public support categories. This org likely has 'Foundation' in its name but supports a ,,0,,,,0,https://projects.propublica.org/nonprofits/organizations/310913802,2011-12-01,
